Asian,Black,Latino,White
86,92,97,57
58,93,92,51
91,91,92,96
79,86,89,47
90,95,98,70
50,50,50,50
82,85,91,51
89,81,81,71
91,93,93,84
100,100,100,25
51,51,50,50
50,50,50,50
70,50,60,50
52,51,100,54
10,64,94,80
51,51,51,51
82,82,82,82
50,50,50,45
75,60,50,40
82,84,83,81
72,51,49,50
100,100,100,100
96,97,97,70
100,100,100,100
75,77,70,61
80,65,65,20
85,84,96,46
60,60,60,50
50,50,50,50
83,80,92,47
90,77,69,82
77,80,77,10
100,100,100,65
100,100,100,54
81,77,76,76
70,79,65,90
91,91,72,70
72,71,72,71
60,50,60,46
95,95,95,10
51,51,70,49
100,100,100,100
100,100,100,100
75,76,75,75
53,74,71,82
51,51,50,51
70,50,50,50
85,75,91,89
90,97,97,90
87,85,81,61
78,100,100,77
92,95,100,80
92,91,79,70
72,63,63,72
78,82,90,88
62,92,68,82
82,38,60,62
80,81,80,50
75,45,60,80
60,80,80,70
100,100,100,58
74,41,40,67
100,100,70,0
40,60,50,60
78,82,72,65
100,75,75,75
50,73,80,50
90,95,95,81
30,100,85,60
50,50,50,50
69,41,100,42
80,100,95,33
50,50,60,50
60,60,100,50
91,70,92,63
85,96,95,67
60,70,70,51
50,86,90,95
75,50,75,50
97,94,95,36
70,71,75,70
81,81,81,81
94,88,81,52
98,98,97,98
90,90,90,90
50,50,50,50
88,90,87,92
50,50,50,50
55,65,60,65
51,87,50,50
50,50,50,50
92,97,80,61
80,50,55,50
81,77,79,82
100,70,80,79
100,100,100,100
50,50,52,50
73,80,100,15
77,75,78,75
95,100,100,85
92,93,98,95
100,100,100,100
80,100,50,75
45,90,100,40
50,50,50,50
100,100,100,98
90,90,90,90
61,50,80,50
74,73,75,73
85,77,83,40
70,75,80,65
73,85,66,11
57,52,50,40
45,50,45,49
100,100,100,90
31,49,89,62
100,100,100,100
50,58,60,50
100,100,100,71
100,100,100,100
38,66,46,54
93,66,93,60
