Trump,Sanders,Clinton,Carson
1,84,73,51
1,90,31,38
37,51,35,51
28,97,41,35
2,71,66,49
0,100,40,50
4,92,64,20
1,82,46,49
6,83,61,41
0,95,75,10
0,92,66,9
81,3,0,91
0,80,10,0
0,100,32,52
1,51,95,50
50,50,50,50
35,45,70,50
1,100,20,1
0,60,60,0
19,61,50,30
71,50,48,49
28,79,40,31
1,100,81,50
0,100,100,50
20,55,20,66
0,80,10,5
1,79,80,1
0,52,100,0
1,68,30,0
0,62,45,50
47,79,44,51
35,14,30,50
0,97,70,15
0,98,80,0
70,61,37,49
78,86,1,1
39,71,61,61
1,78,64,51
3,60,60,40
0,100,80,50
1,100,60,1
10,80,50,30
0,84,70,7
24,39,14,50
35,75,50,49
50,0,1,100
60,50,20,50
0,93,49,49
5,90,15,50
6,83,30,11
0,100,75,13
0,100,81,1
0,95,65,60
40,50,9,50
8,89,39,5
1,84,82,10
1,90,62,1
1,100,88,1
5,90,40,50
29,29,51,82
0,100,71,12
1,40,29,10
0,50,80,0
0,90,65,30
1,72,80,37
15,100,80,50
2,50,80,30
0,89,69,3
0,100,75,0
0,88,2,50
0,80,60,50
0,75,56,0
0,70,60,20
0,100,90,50
0,75,67,50
0,100,71,0
1,69,51,1
50,30,0,50
30,75,61,50
0,100,75,2
0,100,81,0
0,61,50,9
1,91,79,22
0,97,87,3
10,91,81,40
50,50,50,51
10,47,44,30
10,90,50,26
0,81,70,0
0,100,79,50
19,50,17,50
26,56,43,50
0,60,70,60
7,68,37,21
61,64,29,50
0,82,40,50
42,52,48,52
0,100,73,1
0,81,78,39
0,80,80,50
0,97,86,4
60,20,3,50
0,81,63,52
0,99,81,50
0,81,65,10
1,82,71,51
40,50,70,60
9,62,55,50
0,75,37,1
0,75,64,50
0,85,60,1
0,100,57,3
0,55,50,0
11,53,72,50
0,100,77,21
35,21,24,32
11,71,72,50
5,81,51,14
0,100,89,8
35,55,1,38
50,1,0,74
18,87,85,11
